Q100	city in and state capital of Massachusetts, United States
Q48837889	Dominican/American basketball player
Q488379	city in Kazakhstan, seat of North Kazakhstan Province
Q488380	former municipality in Møre og Romsdal, Norway
Q488384	municipality in Nordland, Norway
Q488388	former municipality in Trøndelag county, Norway
Q488392	former municipality in Hordaland, Norway
Q488395	municipality in Innlandet, Norway
Q488398	municipality in Viken, Norway
Q488401	municipality in Innlandet, Norway
Q488405	municipality in Innlandet, Norway
Q488439	municipality in Innlandet, Norway
Q48844	municipality in Nordland, Norway
Q488445	municipality in Møre og Romsdal, Norway
Q488461	county in Florida, United States of America
Q4884668	suburb of Sydney, New South Wales, Australia
Q488468	county in Florida, United States of America
Q488475	county in Illinois, United States
Q48848	municipality in Troms og Finnmark, Norway
Q488481	county in Idaho, United States
Q488488	county in Florida, United States of America
Q488492	county in Illinois, United States
Q488499	county in Florida, United States
Q48850	county in North Dakota, United States
Q488508	Brazilian footballer and manager
Q488512	county in central Idaho, United States
Q488513	town in Germany
Q488517	county in Florida, United States
Q488522	county in Illinois, United States
Q488528	county in Florida, United States of America
Q488531	county in Florida, United States
Q488537	county in Florida, United States
Q488543	county in Florida, United States
Q4885450	American football player
Q488548	county in Idaho, United States
Q488553	county in Illinois, United States
Q488560	county in Illinois, United States
Q488566	county in Iowa, United States
Q488576	county in Florida, United States of America
Q488582	county in Idaho, United States
Q4885854	American ice hockey player
Q488607	municipality in Viken, Norway
Q488611	former municipality in Buskerud, Norway
Q488612	municipality of Germany
Q488622	municipality in Viken, Norway
Q4886235	makeup artist, businessman
Q48863	county in North Dakota, United States
Q488636	municipality of Germany
Q488641	municipality of Germany
Q488649	county in West Virginia, United States
Q488653	county in Virginia, United States
Q488655	1993 comedy film directed by Harold Ramis
Q488659	county in Maryland, United States
Q488663	former municipality in Buskerud, Norway
Q488668	county in Maryland, United States
Q48867	county in North Dakota, United States
Q488672	county in Pennsylvania, United States of America
Q488675	county in Virginia, United States
Q488679	county in Pennsylvania, United States
Q488683	county in Pennsylvania, United States
Q488687	county in Pennsylvania, United States
Q4886884	Thai prince
Q488690	county in Pennsylvania, United States
Q488693	county in Pennsylvania, United States
Q488698	county in Pennsylvania, United States of America
Q48870	municipality in Nordland, Norway
Q488701	county in Maryland, United States
Q488702	city in and county seat of Humboldt County, California, United States
Q488709	municipality in Bavaria, Germany
Q488714	municipality of Germany
Q488718	municipality of Germany
Q48874	county in North Dakota, United States
Q488747	municipality in Agder, Norway
Q488754	Italian politician, historian, and journalist (1925-2007)
Q488762	municipality in Trøndelag, Norway
Q488769	county in West Virginia, United States
Q488776	municipality in Nordland, Norway
Q488779	municipality in Innlandet, Norway
Q48878	county in North Dakota, United States
Q488783	municipality in Innlandet, Norway
Q488792	county in Florida, United States
Q488796	county in Florida, United States
Q48880	municipality in Nordland, Norway
Q488805	county in Florida, United States of America
Q488810	county in Florida, United States of America
Q488811	region of Uzbekistan
Q488813	county in Florida, United States
Q488818	county in Florida, United States
Q488826	county in Florida, United States
Q488840	county in Alabama, United States
Q4888405	Colonel in Revolutionary militia
Q488847	county in Alabama, United States
Q488853	county in Florida, United States
Q488859	county in Florida, United States of America
Q488865	county in Florida, United States
Q488868	county in Georgia, United States
Q488874	county in Florida, United States
Q4888740	Spanish footballer
Q488879	county in Florida, United States of America
Q488885	county in Florida, United States of America
Q4888862	Spanish footballer
Q488892	county in Alabama, United States
Q48891	county in North Dakota, United States
Q488912	county in Wyoming, United States
Q4889162	Spanish football player/manager/director
Q488917	county in Virginia, United States
Q48892	Ivorian association football player
Q488922	county in South Dakota, United States of America
Q488924	city in California, United States
Q488925	cinematographer
Q488943	county in Tennessee, United States
Q488946	city located in southeast Los Angeles County
Q4889498	Chilean footballer
Q488951	municipality in Innlandet, Norway
Q488955	municipality in Troms og Finnmark, Norway
Q488959	municipality in Troms og Finnmark, Norway
Q48896	county in North Dakota, United States
Q488962	municipality in Agder, Norway
Q488966	former municipality in Hordaland, Norway
Q48897	municipality in Nordland, Norway
Q488970	municipality in Trøndelag, Norway
Q488979	former municipality in Trøndelag, Norway
Q488992	diocese of the Catholic Church in the United States
Q489	American stand-up comedian and television host
Q489005	municipality of Germany
Q489007	county in Tennessee, United States
Q489015	Uzbekistani chess player
Q48902	county in North Dakota, United States of America
Q489038	former municipality in Agder County, Norway
Q489039	French association football player
Q489045	municipality of Germany
Q48905	county in North Dakota, United States
Q489054	municipality of Germany
Q489056	county in Tennessee, United States
Q489059	town in Bavaria, Germany
Q489062	county in South Dakota, United States
Q489069	county in South Dakota, United States of America
Q489075	county in South Dakota, United States of America
Q489079	county in South Dakota, United States
Q489083	county in South Dakota, United States
Q4890847	Spanish politician
Q489088	county in South Dakota, United States of America
Q48909	municipality in Innlandet, Norway
Q489092	county in South Dakota, United States of America
Q489099	county in South Dakota, United States
Q48910	county in North Dakota, United States
Q489100	municipality of Germany
Q489106	county in South Dakota, United States
Q489107	Croatian football manager and former player
Q48911	association football club
Q48913	municipality in Innlandet, Norway
Q489147	municipality of Germany
Q489152	village in Bavaria, Germany
Q489158	professional  basketball player
Q489159	county in South Dakota, United States of America
Q489163	county in Wisconsin, United States
Q489164	municipality of Germany
Q48917	county in North Dakota, United States of America
Q489197	city in California
Q489205	municipality of Spain
Q489222	county in South Dakota, United States of America
Q48924	municipality in Viken, Norway
Q489255	city in Iowa, United States of America
Q489259	county in South Dakota, United States
Q48926	county in North Dakota, United States
Q489260	comune of Italy
Q489265	county in South Dakota, United States
Q489267	Italian comune
Q48927	county in North Dakota, United States
Q489273	county in Clay County South Dakota, United States
Q489276	Italian comune
Q489306	county in Oklahoma, United States
Q48931	county in North Dakota, United States
Q489312	county in Oklahoma, United States
Q489318	county in Oklahoma, United States
Q489324	county in Oklahoma, United States
Q489327	county in Oklahoma, United States
Q48933	county in North Dakota, United States
Q489332	county in Oklahoma, United States
Q489342	municipality in Møre og Romsdal, Norway
Q489347	municipality in Nordland, Norway
Q48935	association football club in Chesterfield, England
Q4893580	Czech sculptor
Q489362	municipality in Nordland, Norway
Q489369	county in South Dakota, United States of America
Q48937	county in North Dakota, United States
Q489377	county in South Carolina, United States
Q4893784	Dutch painter (1866-1943)
Q489420	county in South Carolina, United States
Q4894238	German artist (1683-1737)
Q489430	county in Tennessee, United States
Q489447	county in Oklahoma, United States
Q48945	association football club in Northampton, England
Q489457	county in Oklahoma, United States of America
Q489463	county in Oklahoma, United States
Q489468	county in Oklahoma, United States
Q4894694	suburb of Hobart, Australia
Q48947	association football club in Plymouth, England
Q489471	county in Oklahoma, United States
Q489477	county in Oklahoma, United States of America
Q489481	county in Oklahoma, United States of America
Q4894822	Spanish politician
Q489486	county in Oklahoma, United States
Q4895212	Canadian ice hockey player
Q4895288	ice hockey player
Q489536	county in Ohio, United States
Q489539	Brazilian footballer and manager
Q489546	county in Ohio, United States
Q48955	Brazilian footballer and manager
Q489553	county in Ohio, United States
Q489559	American film director, producer and cinematographer
Q489571	county in Ohio, United States
Q489576	county in Ohio, United States
Q48958	commune in Hauts-de-Seine, France
Q489586	county in Ohio, United States
Q489591	county in Ohio, United States
Q489595	county in Ohio, United States
Q489599	county in Ohio, United States
Q489613	county in New Mexico, United States
Q489616	county in New Mexico, United States
Q489620	county in South Dakota, United States of America
Q489625	county in Missouri, United States
Q489642	county in New Mexico, United States
Q489648	county in Nebraska, United States
